# lattice site	net spin density	electron density	spin-up electron density	spin-down electron density
1.00	-0.00	1.00	0.50	0.50
2.00	0.00	1.00	0.50	0.50
3.00	0.00	1.00	0.50	0.50
4.00	-0.00	1.00	0.50	0.50
5.00	-0.00	1.00	0.50	0.50
6.00	0.00	1.00	0.50	0.50
7.00	0.00	1.00	0.50	0.50
8.00	0.00	1.00	0.50	0.50
9.00	-0.00	1.00	0.50	0.50
10.00	-0.00	1.00	0.50	0.50
11.00	-0.00	1.00	0.50	0.50
12.00	0.00	1.00	0.50	0.50
13.00	0.00	1.00	0.50	0.50
14.00	-0.00	1.00	0.50	0.50
15.00	-0.00	1.00	0.50	0.50
16.00	0.00	1.00	0.50	0.50
# Number of iterations = 11
