# lattice site	net spin density	electron density	spin-up electron density	spin-down electron density
1.00	0.09	1.00	0.59	0.41
2.00	-0.00	1.00	0.50	0.50
3.00	0.12	1.00	0.62	0.38
4.00	-0.00	1.00	0.50	0.50
5.00	0.09	1.00	0.59	0.41
6.00	0.09	1.00	0.59	0.41
7.00	-0.00	1.00	0.50	0.50
8.00	0.03	1.00	0.53	0.47
9.00	-0.00	1.00	0.50	0.50
10.00	-0.00	1.00	0.50	0.50
11.00	0.03	1.00	0.53	0.47
12.00	-0.00	1.00	0.50	0.50
13.00	0.12	1.00	0.62	0.38
14.00	0.09	1.00	0.59	0.41
15.00	-0.00	1.00	0.50	0.50
16.00	0.03	1.00	0.53	0.47
17.00	-0.00	1.00	0.50	0.50
18.00	0.12	1.00	0.62	0.38
19.00	-0.00	1.00	0.50	0.50
20.00	0.09	1.00	0.59	0.41
21.00	0.09	1.00	0.59	0.41
22.00	-0.00	1.00	0.50	0.50
# Number of iterations = 14
#  Net magnetization = 1.0012003161485499
